N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"83,200",700,-0.83%,100,"4,966,859","5,969,783",55.68,"32,243,925",22.72,8.69,
2,SK하이닉스,"132,500","2,000",+1.53%,"5,000","964,603","728,002",49.91,"7,035,959",33.61,4.25,
3,LG화학,"896,000","3,000",+0.34%,"5,000","632,507","70,592",42.93,"411,628",83.71,1.84,
4,삼성전자우,"74,600",400,-0.53%,100,"613,873","822,887",81.66,"3,245,152",20.37,N/A,
5,삼성바이오로직스,"821,000","11,000",-1.32%,"2,500","543,215","66,165",10.46,"109,842",152.86,4.77,
6,셀트리온,"355,500","1,000",+0.28%,"1,000","479,917","134,998",20.74,"765,380",96.08,11.19,
7,NAVER,"292,000",500,-0.17%,100,"479,649","164,263",55.98,"1,109,588",58.13,10.56,
8,삼성SDI,"679,000","7,000",-1.02%,"5,000","466,911","68,765",44.32,"519,360",231.66,2.94,
9,현대차,"205,000","4,500",-2.15%,"5,000","438,020","213,668",31.07,"2,222,907",48.98,4.32,
10,카카오,"401,000","8,000",+2.04%,500,"354,631","88,437",32.33,"1,212,311",-445.06,-5.81,
11,현대모비스,"285,000","6,000",-2.06%,"5,000","270,906","95,055",43.03,"547,002",17.38,7.28,
12,삼성물산,"141,000","3,500",-2.42%,100,"263,511","186,887",14.31,"857,117",23.62,4.77,
13,기아차,"62,100","1,600",-2.51%,"5,000","251,731","405,363",37.03,"2,170,058",28.86,6.50,
14,LG생활건강,"1,592,000","18,000",-1.12%,"5,000","248,642","15,618",45.45,"31,585",35.67,20.32,
15,POSCO,"283,000","2,000",-0.70%,"5,000","246,739","87,187",50.65,"431,504",25.92,4.18,
16,SK이노베이션,"261,500","17,500",+7.17%,"5,000","241,797","92,466",24.34,"3,795,477",-9.95,-0.20,
17,LG전자,"140,000",0,0.00%,"5,000","229,107","163,648",35.88,"4,445,479",30.41,0.22,
18,엔씨소프트,"958,000","27,000",-2.74%,500,"210,320","21,954",48.87,"135,375",37.49,14.72,
19,SK텔레콤,"249,000","3,000",+1.22%,500,"201,057","80,746",34.15,"552,617",18.34,3.92,
20,SK,"273,000","21,500",+8.55%,200,"192,084","70,360",21.56,"2,117,657","1,151.90",4.31,
21,KB금융,"44,500",950,+2.18%,"5,000","185,035","415,808",65.30,"2,786,555",5.43,8.92,
22,한국전력,"27,200",300,+1.12%,"5,000","174,614","641,964",17.13,"7,246,075",188.89,-3.42,
23,LG,"98,700",400,+0.41%,"5,000","170,314","172,557",34.42,"774,007",13.95,5.87,
24,신한지주,"32,600",500,+1.56%,"5,000","168,388","516,527",57.23,"3,557,155",4.68,9.09,
25,삼성에스디에스,"206,000","6,500",-3.06%,500,"159,398","77,378",11.96,"871,052",30.41,11.76,
26,삼성생명,"77,600",300,+0.39%,500,"155,200","200,000",12.01,"675,904",15.59,3.26,
27,삼성전기,"176,500","3,500",-1.94%,"5,000","131,834","74,694",34.70,"698,557",36.16,10.18,
28,SK바이오팜,"159,500","1,000",-0.62%,500,"124,910","78,313",5.18,"509,125",-145.00,-313.66,
29,아모레퍼시픽,"201,500","1,500",-0.74%,500,"117,794","58,458",31.83,"209,924",323.95,5.36,
30,KT&G,"83,200",100,+0.12%,"5,000","114,227","137,292",40.12,"737,506",11.61,12.39,
31,넷마블,"130,500","2,000",-1.51%,100,"112,028","85,845",22.68,"479,144",52.86,3.54,
32,하나금융지주,"34,900",850,+2.50%,"5,000","104,784","300,242",65.03,"2,429,189",4.27,8.77,
33,롯데케미칼,"289,500","7,000",+2.48%,"5,000","99,227","34,275",26.21,"372,853",85.57,5.51,
34,삼성화재,"183,500","3,000",-1.61%,500,"86,933","47,375",44.42,"142,208",13.42,4.85,
35,한온시스템,"16,100",450,-2.72%,100,"85,942","533,800",20.32,"1,030,981",61.22,14.98,
36,한화솔루션,"53,400",500,-0.93%,"5,000","85,368","159,864",19.70,"5,562,250",-95.02,-4.02,
37,한국조선해양,"119,500","2,000",+1.70%,"5,000","84,574","70,773",16.48,"735,726",395.70,1.40,
38,고려아연,"444,000","8,000",-1.77%,"5,000","83,783","18,870",23.93,"148,084",14.96,9.76,
39,S-Oil,"74,100","3,300",+4.66%,"2,500","83,424","112,583",75.73,"2,001,021",-9.94,1.01,
40,포스코케미칼,"129,000","5,000",+4.03%,500,"78,675","60,988",7.27,"1,051,903",293.18,11.57,
41,LG디스플레이,"19,500",700,+3.72%,"5,000","69,774","357,816",23.18,"6,605,622",-2.84,-22.35,
42,현대글로비스,"186,000","5,000",-2.62%,500,"69,750","37,500",35.42,"299,710",10.45,11.25,
43,우리금융지주,"9,600",10,-0.10%,"5,000","69,338","722,268",24.83,"2,557,091",5.15,N/A,
44,신풍제약,"123,000","4,500",+3.80%,500,"65,172","52,985",11.98,"2,689,878","3,416.67",0.80,
45,미래에셋대우,"10,000",100,+1.01%,"5,000","64,532","645,316",14.22,"9,483,725",10.45,7.56,
46,기업은행,"8,710",0,0.00%,"5,000","64,338","738,664",10.20,"3,408,202",4.45,7.36,
47,KT,"23,950",0,0.00%,"5,000","62,536","261,112",43.92,"1,945,808",10.20,4.61,
48,CJ제일제당,"404,500","10,000",-2.41%,"5,000","60,894","15,054",24.72,"111,084",8.40,3.16,
49,KODEX 200,"41,100",50,-0.12%,0,"59,307","144,300",18.62,"10,489,097",N/A,N/A,
50,한미사이언스,"87,500","10,500",+13.64%,500,"57,760","66,011",1.57,"3,464,791",397.73,4.73,
51,현대제철,"42,700",850,-1.95%,"5,000","56,981","133,446",19.45,"1,666,815",-23.13,0.10,
52,빅히트,"158,500",0,0.00%,500,"56,464","35,624",3.59,"121,694",N/A,56.47,
53,두산중공업,"14,250",450,-3.06%,"5,000","53,386","374,637",11.09,"3,302,245",-3.07,-14.73,
54,코웨이,"72,300",600,-0.82%,500,"53,357","73,800",60.37,"192,912",14.94,30.74,
55,LG유플러스,"12,200",200,+1.67%,"5,000","53,267","436,611",30.16,"7,293,949",6.72,6.30,
56,HMM,"16,050",450,-2.73%,"5,000","52,440","326,726",7.46,"6,967,564",-51.77,-55.46,
